function,dimension,p_sigma_mode,initial_sigma,seed,best_f,evaluations,reached_target
rosenbrock,2,zero,0.5,5,7.842359675250446e-09,691,True
rosenbrock,2,zero,0.5,6,3.831020223639984e-09,571,True
rosenbrock,2,zero,0.5,7,5.651007960739056e-10,619,True
rosenbrock,2,zero,0.5,8,5.264087958828154e-09,1339,True
rosenbrock,2,zero,0.5,9,2.9633362612386427e-09,715,True
rosenbrock,2,zero,0.5,10,4.7381324263746695e-09,577,True
rosenbrock,2,zero,1.0,1,6.632933187893626e-09,421,True
rosenbrock,2,zero,1.0,2,3.989113091748831e-09,511,True
rosenbrock,2,zero,1.0,3,6.7734614854262484e-09,595,True
rosenbrock,2,zero,1.0,4,7.255775709455591e-09,649,True
rosenbrock,2,zero,1.0,5,3.7306917799882575e-09,349,True
rosenbrock,2,zero,1.0,6,2.4464311811535626e-09,463,True
rosenbrock,2,zero,1.0,7,2.7418392794634553e-09,667,True
rosenbrock,2,zero,1.0,8,7.121775717413325e-09,1219,True
rosenbrock,2,zero,1.0,9,4.062966631019219e-09,427,True
rosenbrock,2,zero,1.0,10,7.2434819762948306e-09,691,True
rosenbrock,2,zero,2.0,1,9.033142583528695e-09,499,True
rosenbrock,2,zero,2.0,2,5.844718487436659e-09,511,True
rosenbrock,2,zero,2.0,3,9.30871392008409e-09,451,True
rosenbrock,2,zero,2.0,4,6.989642518723791e-10,565,True
rosenbrock,2,zero,2.0,5,5.996951641894827e-09,475,True
rosenbrock,2,zero,2.0,6,6.141152417907895e-09,439,True
rosenbrock,2,zero,2.0,7,4.7228796354429265e-09,403,True
rosenbrock,2,zero,2.0,8,9.718766919992147e-09,1267,True
rosenbrock,2,zero,2.0,9,7.609020574876112e-10,691,True
rosenbrock,2,zero,2.0,10,5.217475467114333e-09,607,True
rosenbrock,2,zero,5.0,1,5.731416260480987e-09,937,True
rosenbrock,2,zero,5.0,2,5.737056226969812e-09,1093,True
rosenbrock,2,zero,5.0,3,6.383852996177432e-09,607,True
rosenbrock,2,zero,5.0,4,2.9618172198016202e-09,697,True
rosenbrock,2,zero,5.0,5,4.63885297281566e-09,397,True
rosenbrock,2,zero,5.0,6,5.526113874114081e-09,523,True
rosenbrock,2,zero,5.0,7,5.784315258995405e-09,589,True
rosenbrock,2,zero,5.0,8,8.250264147858334e-09,601,True
